suburb,lat,lon
 Corndale,-38.4200,142.8600
 Cornella,-38.4200,142.8600
 Cornishtown,-38.4200,142.8600
 Coronet Bay,-38.4200,142.8600
 Corop,-38.4200,142.8600
 Corop West,-38.4200,142.8600
 Cororooke,-38.4200,142.8600
 Corringle,-38.4200,142.8600
 Corryong,-38.4200,142.8600
 Corunnun,-38.4200,142.8600
 Cosgrove,-38.4200,142.8600
 Cosgrove South,-38.4200,142.8600
 Costerfield,-38.4200,142.8600
 Cotham,-38.4200,142.8600
 Cotswold,-38.4200,142.8600
 Cottles Bridge,-38.6200,143.0000
 Cowa,-38.6200,143.0000
 Cowangie,-38.6200,143.0000
 Cowes,-38.5800,142.8600
 Cowleys Creek,-38.0000,143.0500
 Cowwarr,-38.0000,143.0500
 Craigie,-38.0000,143.0500
 Craigieburn,-38.0800,142.8100
 Cranbourne,-38.0800,142.8100
 Cranbourne East,-38.0600,142.6100
 Cranbourne North,-37.9100,142.5200
 Cranbourne South,-38.3000,142.4600
 Cranbourne West,-38.0400,142.4400
 Creek Junction,-38.0400,142.4400
 Creightons Creek,-38.3900,142.5900
 Cremorne,-38.3900,142.5900
 Cressy,-38.3900,142.5900
 Creswick,-38.3900,142.5900
 Creswick North,-38.3900,142.5900
 Crib Point,-38.3900,142.5900
 Cromer,-38.2800,142.6200
 Crookayan,-38.2800,142.6200
 Crooked River,-38.2100,142.6600
 Cross Roads,-38.2100,142.6600
 Crossley,-38.3600,142.4400
 Crossover,-38.3600,142.4400
 Crowlands,-38.3600,142.4400
 Croxton East,-38.3600,142.4400
 Croydon,-38.3300,142.5100
 Croydon Hills,-38.3300,142.5100
 Croydon North,-38.3300,142.5100
 Croydon South,-38.3300,142.5100
 Crymelon,-38.3300,142.4100
 Crystal Creek,-38.3300,142.4100
 Cudgee,-38.3100,142.3300
 Cudgewa,-38.3100,142.3300
 Culgoa,-38.3100,142.3300
 Culla,-38.3100,142.3300
 Cullen,-38.3100,142.3300
 Cullulleraine,-38.3100,142.3300
 Cundare,-38.3100,142.3300
 Cundare North,-38.3100,142.3300
 Curdies River,-38.3100,142.3300
 Curdievale,-38.3100,142.3300
